anio,trimestre,provincia_id,velocidad,accesos,velocidad_id
2017,4,PR01,0.256,114182,VEL1
2017,4,PR01,0.512,3865,VEL2
2017,4,PR01,1000.0,35185,VEL7
2017,4,PR01,1200.0,19861,VEL7
2017,4,PR01,2200.0,29124,VEL7
2017,4,PR01,3200.0,26245,VEL7
2017,4,PR01,4000.0,142091,VEL7
2017,4,PR01,4500.0,3277,VEL7
2017,4,PR01,6000.0,4087,VEL7
2017,4,PR01,6400.0,1346370,VEL7
2017,4,PR01,7500.0,1764,VEL7
2017,4,PR01,9000.0,12080,VEL7
2017,4,PR01,10000.0,79,VEL7
2017,4,PR01,10100.0,250722,VEL7
2017,4,PR01,12000.0,4,VEL7
2017,4,PR01,12300.0,440198,VEL7
2017,4,PR01,14000.0,2,VEL7
2017,4,PR01,15000.0,1,VEL7
2017,4,PR01,16000.0,45163,VEL7
2017,4,PR01,17000.0,112,VEL7
2017,4,PR01,19000.0,51889,VEL7
2017,4,PR01,20500.0,175144,VEL7
2017,4,PR01,22000.0,1,VEL7
2017,4,PR01,25000.0,2,VEL7
2017,4,PR01,25100.0,153722,VEL7
2017,4,PR01,31000.0,183194,VEL7
2017,4,PR01,41000.0,13,VEL7
2017,4,PR01,50000.0,1,VEL7
2017,4,PR01,50100.0,124942,VEL7
2017,4,PR01,61000.0,1,VEL7
2017,4,PR01,71000.0,2,VEL7
2017,4,PR01,97000.0,1,VEL7
2017,4,PR01,100100.0,24786,VEL7
2017,4,PR01,122000.0,2,VEL7
2017,4,PR01,155000.0,220,VEL7
2017,4,PR02,0.512,314,VEL2
2017,4,PR02,1000.0,701,VEL7
2017,4,PR02,1200.0,30710,VEL7
2017,4,PR02,2200.0,788,VEL7
2017,4,PR02,3200.0,1892,VEL7
2017,4,PR02,4000.0,4051,VEL7
2017,4,PR02,4500.0,1049,VEL7
2017,4,PR02,6000.0,5774,VEL7
2017,4,PR02,6400.0,503464,VEL7
2017,4,PR02,7500.0,19,VEL7
2017,4,PR02,9000.0,922,VEL7
2017,4,PR02,10000.0,5,VEL7
2017,4,PR02,10100.0,283094,VEL7
2017,4,PR02,12000.0,5,VEL7
2017,4,PR02,12300.0,290212,VEL7
2017,4,PR02,16000.0,1217,VEL7
2017,4,PR02,17000.0,3,VEL7
2017,4,PR02,18000.0,1,VEL7
2017,4,PR02,19000.0,40974,VEL7
2017,4,PR02,20500.0,125708,VEL7
2017,4,PR02,25000.0,1,VEL7
2017,4,PR02,25100.0,117018,VEL7
2017,4,PR02,31000.0,62693,VEL7
2017,4,PR02,36000.0,7,VEL7
2017,4,PR02,41000.0,22,VEL7
2017,4,PR02,50100.0,91194,VEL7
2017,4,PR02,61000.0,8,VEL7
2017,4,PR02,66000.0,1,VEL7
2017,4,PR02,71000.0,5,VEL7
2017,4,PR02,81000.0,2,VEL7
2017,4,PR02,100100.0,19785,VEL7
2017,4,PR02,120000.0,2,VEL7
2017,4,PR02,122000.0,6,VEL7
2017,4,PR02,131000.0,2,VEL7
2017,4,PR02,155000.0,2589,VEL7
2017,4,PR03,0.256,2151,VEL1
2017,4,PR03,0.512,34,VEL2
2017,4,PR03,1000.0,1,VEL7
2017,4,PR03,1200.0,3181,VEL7
2017,4,PR03,3200.0,43,VEL7
2017,4,PR03,4000.0,198,VEL7
2017,4,PR03,6400.0,15074,VEL7
2017,4,PR03,10100.0,5904,VEL7
2017,4,PR03,16000.0,2,VEL7
2017,4,PR03,20500.0,2925,VEL7
2017,4,PR03,31000.0,43,VEL7
2017,4,PR03,155000.0,2,VEL7
2017,4,PR04,0.256,1035,VEL1
2017,4,PR04,0.512,70,VEL2
2017,4,PR04,1000.0,1,VEL7
2017,4,PR04,1200.0,3431,VEL7
2017,4,PR04,2200.0,22,VEL7
2017,4,PR04,3200.0,34,VEL7
2017,4,PR04,4000.0,1310,VEL7
2017,4,PR04,4500.0,6536,VEL7
2017,4,PR04,6000.0,8,VEL7
2017,4,PR04,6400.0,29234,VEL7
2017,4,PR04,9000.0,8917,VEL7
2017,4,PR04,10100.0,15171,VEL7
2017,4,PR04,12300.0,8521,VEL7
2017,4,PR04,16000.0,26,VEL7
2017,4,PR04,19000.0,723,VEL7
2017,4,PR04,20500.0,10853,VEL7
2017,4,PR04,25100.0,6646,VEL7
2017,4,PR04,31000.0,688,VEL7
2017,4,PR04,36000.0,522,VEL7
2017,4,PR04,46000.0,107,VEL7
2017,4,PR04,50100.0,2297,VEL7
2017,4,PR04,100100.0,259,VEL7
2017,4,PR04,155000.0,60,VEL7
2017,4,PR05,0.512,67,VEL2
2017,4,PR05,1000.0,3086,VEL7
2017,4,PR05,1200.0,1227,VEL7
2017,4,PR05,2200.0,1104,VEL7
2017,4,PR05,3200.0,7760,VEL7
2017,4,PR05,4000.0,8261,VEL7
2017,4,PR05,4500.0,534,VEL7
2017,4,PR05,6000.0,54,VEL7
2017,4,PR05,6400.0,65963,VEL7
2017,4,PR05,9000.0,2543,VEL7
2017,4,PR05,10100.0,2812,VEL7
2017,4,PR05,12300.0,4,VEL7
2017,4,PR05,16000.0,3,VEL7
2017,4,PR05,25100.0,3,VEL7
2017,4,PR05,31000.0,2,VEL7
2017,4,PR05,50100.0,9,VEL7
2017,4,PR06,0.256,8429,VEL1
2017,4,PR06,0.512,291,VEL2
2017,4,PR06,1000.0,3524,VEL7
2017,4,PR06,1200.0,21887,VEL7
2017,4,PR06,2200.0,1340,VEL7
2017,4,PR06,3200.0,6748,VEL7
2017,4,PR06,4000.0,59998,VEL7
2017,4,PR06,4500.0,2663,VEL7
2017,4,PR06,6000.0,5115,VEL7
2017,4,PR06,6400.0,204973,VEL7
2017,4,PR06,7500.0,133,VEL7
2017,4,PR06,9000.0,10535,VEL7
2017,4,PR06,10100.0,92224,VEL7
2017,4,PR06,12000.0,2,VEL7
2017,4,PR06,12300.0,135753,VEL7
2017,4,PR06,16000.0,1093,VEL7
2017,4,PR06,19000.0,15370,VEL7
2017,4,PR06,20500.0,65384,VEL7
2017,4,PR06,25100.0,36394,VEL7
2017,4,PR06,31000.0,4651,VEL7
2017,4,PR06,50100.0,19186,VEL7
2017,4,PR06,66000.0,1,VEL7
2017,4,PR06,71000.0,1,VEL7
2017,4,PR06,100100.0,2577,VEL7
2017,4,PR06,155000.0,2339,VEL7
2017,4,PR07,0.512,11,VEL2
2017,4,PR07,1200.0,5220,VEL7
2017,4,PR07,2200.0,1337,VEL7
2017,4,PR07,3200.0,43,VEL7
2017,4,PR07,4000.0,793,VEL7
2017,4,PR07,4500.0,6923,VEL7
2017,4,PR07,6000.0,1,VEL7
2017,4,PR07,6400.0,31983,VEL7
2017,4,PR07,9000.0,8585,VEL7
2017,4,PR07,10100.0,15101,VEL7
2017,4,PR07,12300.0,7353,VEL7
2017,4,PR07,16000.0,21,VEL7
2017,4,PR07,19000.0,717,VEL7
2017,4,PR07,20500.0,7955,VEL7
2017,4,PR07,25100.0,4860,VEL7
2017,4,PR07,31000.0,207,VEL7
2017,4,PR07,36000.0,488,VEL7
2017,4,PR07,46000.0,131,VEL7
2017,4,PR07,50100.0,1814,VEL7
2017,4,PR07,100100.0,216,VEL7
2017,4,PR07,155000.0,12,VEL7
2017,4,PR08,0.512,1685,VEL2
2017,4,PR08,1000.0,7,VEL7
2017,4,PR08,1200.0,9071,VEL7
2017,4,PR08,2200.0,3420,VEL7
2017,4,PR08,3200.0,1903,VEL7
2017,4,PR08,4000.0,14662,VEL7
2017,4,PR08,4500.0,11377,VEL7
2017,4,PR08,6000.0,984,VEL7
2017,4,PR08,6400.0,63120,VEL7
2017,4,PR08,9000.0,12885,VEL7
2017,4,PR08,10000.0,1,VEL7
2017,4,PR08,10100.0,32303,VEL7
2017,4,PR08,12300.0,14708,VEL7
2017,4,PR08,16000.0,19,VEL7
2017,4,PR08,19000.0,1007,VEL7
2017,4,PR08,20500.0,14276,VEL7
2017,4,PR08,25100.0,7704,VEL7
2017,4,PR08,31000.0,273,VEL7
2017,4,PR08,36000.0,335,VEL7
2017,4,PR08,46000.0,58,VEL7
2017,4,PR08,50100.0,2721,VEL7
2017,4,PR08,71000.0,1,VEL7
2017,4,PR08,100100.0,319,VEL7
2017,4,PR08,155000.0,660,VEL7
2017,4,PR09,0.512,1110,VEL2
2017,4,PR09,1000.0,191,VEL7
2017,4,PR09,1200.0,3870,VEL7
2017,4,PR09,2200.0,122,VEL7
2017,4,PR09,3200.0,342,VEL7
2017,4,PR09,4000.0,1202,VEL7
2017,4,PR09,6000.0,52,VEL7
2017,4,PR09,6400.0,11502,VEL7
2017,4,PR09,9000.0,1,VEL7
2017,4,PR09,10100.0,4866,VEL7
2017,4,PR09,12300.0,1638,VEL7
2017,4,PR09,16000.0,2,VEL7
2017,4,PR09,19000.0,29,VEL7
2017,4,PR09,20500.0,5327,VEL7
2017,4,PR09,25100.0,397,VEL7
2017,4,PR09,31000.0,584,VEL7
2017,4,PR09,50100.0,776,VEL7
2017,4,PR09,100100.0,31,VEL7
2017,4,PR09,155000.0,13,VEL7
2017,4,PR10,0.512,345,VEL2
2017,4,PR10,1000.0,2153,VEL7
2017,4,PR10,1200.0,3211,VEL7
2017,4,PR10,3200.0,13,VEL7
2017,4,PR10,4000.0,9511,VEL7
2017,4,PR10,6400.0,17042,VEL7
2017,4,PR10,9000.0,36,VEL7
2017,4,PR10,10100.0,7685,VEL7
2017,4,PR10,16000.0,15,VEL7
2017,4,PR10,20500.0,3492,VEL7
2017,4,PR10,31000.0,44,VEL7
2017,4,PR10,155000.0,3,VEL7
2017,4,PR11,0.256,3503,VEL1
2017,4,PR11,0.512,310,VEL2
2017,4,PR11,1000.0,7350,VEL7
2017,4,PR11,1200.0,1379,VEL7
2017,4,PR11,2200.0,1213,VEL7
2017,4,PR11,3200.0,3635,VEL7
2017,4,PR11,4000.0,43451,VEL7
2017,4,PR11,4500.0,1,VEL7
2017,4,PR11,6000.0,4979,VEL7
2017,4,PR11,6400.0,12774,VEL7
2017,4,PR11,9000.0,1129,VEL7
2017,4,PR11,10100.0,98,VEL7
2017,4,PR11,12300.0,430,VEL7
2017,4,PR11,16000.0,343,VEL7
2017,4,PR11,19000.0,10,VEL7
2017,4,PR11,20500.0,9,VEL7
2017,4,PR11,25100.0,390,VEL7
2017,4,PR11,31000.0,11,VEL7
2017,4,PR11,50100.0,68,VEL7
2017,4,PR11,100100.0,3,VEL7
2017,4,PR12,0.512,9,VEL2
2017,4,PR12,1000.0,1,VEL7
2017,4,PR12,1200.0,1487,VEL7
2017,4,PR12,3200.0,2,VEL7
2017,4,PR12,4000.0,31591,VEL7
2017,4,PR12,6400.0,9184,VEL7
2017,4,PR12,10100.0,4083,VEL7
2017,4,PR12,16000.0,3650,VEL7
2017,4,PR12,20500.0,2163,VEL7
2017,4,PR12,31000.0,24,VEL7
2017,4,PR12,50100.0,1,VEL7
2017,4,PR13,0.512,26,VEL2
2017,4,PR13,1000.0,14,VEL7
2017,4,PR13,1200.0,1642,VEL7
2017,4,PR13,2200.0,2228,VEL7
2017,4,PR13,3200.0,3326,VEL7
2017,4,PR13,4000.0,13169,VEL7
2017,4,PR13,4500.0,255,VEL7
2017,4,PR13,6400.0,158668,VEL7
2017,4,PR13,9000.0,13,VEL7
2017,4,PR13,10000.0,250,VEL7
2017,4,PR13,10100.0,175,VEL7
2017,4,PR13,12300.0,78,VEL7
2017,4,PR13,16000.0,63,VEL7
2017,4,PR13,20500.0,137,VEL7
2017,4,PR13,25100.0,20,VEL7
2017,4,PR13,31000.0,28,VEL7
2017,4,PR13,50100.0,56,VEL7
2017,4,PR13,100100.0,6,VEL7
2017,4,PR14,0.512,1053,VEL2
2017,4,PR14,1200.0,3900,VEL7
2017,4,PR14,2200.0,18,VEL7
2017,4,PR14,3200.0,1909,VEL7
2017,4,PR14,4000.0,7,VEL7
2017,4,PR14,4500.0,4631,VEL7
2017,4,PR14,6000.0,10,VEL7
2017,4,PR14,6400.0,35148,VEL7
2017,4,PR14,9000.0,7414,VEL7
2017,4,PR14,10100.0,15717,VEL7
2017,4,PR14,12300.0,12350,VEL7
2017,4,PR14,16000.0,6,VEL7
2017,4,PR14,19000.0,816,VEL7
2017,4,PR14,20500.0,9090,VEL7
2017,4,PR14,25100.0,8585,VEL7
2017,4,PR14,31000.0,525,VEL7
2017,4,PR14,36000.0,96,VEL7
2017,4,PR14,46000.0,21,VEL7
2017,4,PR14,50100.0,2348,VEL7
2017,4,PR14,100100.0,233,VEL7
2017,4,PR14,155000.0,18,VEL7
2017,4,PR15,0.256,6105,VEL1
2017,4,PR15,0.512,1396,VEL2
