anio,trimestre,provincia_id,tv_sus_100hab,tv_sus_100hog
2015,4,PR03,7.4,29.1
2015,4,PR04,7.94,29.75
2015,4,PR05,12.14,39.67
2015,4,PR06,27.87,91.11
2015,4,PR07,8.82,33.52
2015,4,PR08,11.69,39.12
2015,4,PR09,8.01,31.48
2015,4,PR10,11.9,46.57
2015,4,PR11,25.41,77.17
2015,4,PR12,6.84,25.72
2015,4,PR13,6.2,22.23
2015,4,PR14,10.02,36.83
2015,4,PR15,17.93,60.29
2015,4,PR16,8.09,26.33
2015,4,PR17,12.97,53.61
2015,4,PR18,5.99,23.52
2015,4,PR19,11.45,40.04
2015,4,PR20,17.16,57.8
2015,4,PR21,18.06,57.46
2015,4,PR22,10.77,43.42
2015,4,PR23,24.74,83.62
2015,4,PR24,7.86,31.76
2016,1,PR01,14.86,48.77
2016,1,PR02,23.54,61.98
2016,1,PR03,7.29,28.68
2016,1,PR04,7.91,29.61
2016,1,PR05,11.82,38.61
2016,1,PR06,27.7,90.54
2016,1,PR07,8.55,32.5
2016,1,PR08,11.56,38.69
2016,1,PR09,7.93,31.18
2016,1,PR10,11.52,45.09
2016,1,PR11,25.88,78.61
2016,1,PR12,6.5,24.43
2016,1,PR13,6.09,21.85
2016,1,PR14,10.05,36.94
2016,1,PR15,17.66,59.38
2016,1,PR16,7.75,25.21
2016,1,PR17,12.61,52.13
2016,1,PR18,5.65,22.19
2016,1,PR19,11.39,39.83
2016,1,PR20,16.52,55.62
2016,1,PR21,17.83,56.74
2016,1,PR22,10.54,42.51
2016,1,PR23,24.84,83.95
2016,1,PR24,8.01,32.35
2016,2,PR01,14.94,49.04
2016,2,PR02,23.47,61.8
2016,2,PR03,7.4,29.1
2016,2,PR04,8.16,30.56
2016,2,PR05,12.61,41.2
2016,2,PR06,27.88,91.15
2016,2,PR07,8.58,32.61
2016,2,PR08,11.62,38.9
2016,2,PR09,7.93,31.19
2016,2,PR10,11.58,45.33
2016,2,PR11,25.9,78.65
2016,2,PR12,6.54,24.59
2016,2,PR13,6.09,21.85
2016,2,PR14,10.15,37.31
2016,2,PR15,17.65,59.37
2016,2,PR16,7.72,25.14
2016,2,PR17,12.9,53.3
2016,2,PR18,5.67,22.3
2016,2,PR19,11.18,39.1
2016,2,PR20,15.7,52.86
2016,2,PR21,17.96,57.15
2016,2,PR22,10.56,42.59
2016,2,PR23,24.33,82.24
2016,2,PR24,7.73,31.23
2016,3,PR01,14.97,49.12
2016,3,PR02,23.43,61.7
2016,3,PR03,7.43,29.22
2016,3,PR04,7.8,29.22
2016,3,PR05,12.59,41.12
2016,3,PR06,28.04,91.66
2016,3,PR07,8.59,32.63
2016,3,PR08,11.65,39.0
