anio,trimestre,provincia_id,tecnologia_id,accesos
2015,3,PR19,TEC1,11432
2015,3,PR20,TEC1,15540
2015,3,PR21,TEC1,337042
2015,3,PR22,TEC1,33886
2015,3,PR23,TEC1,22636
2015,3,PR24,TEC1,142925
2015,4,PR01,TEC1,1586343
2015,4,PR02,TEC1,455427
2015,4,PR03,TEC1,26180
2015,4,PR04,TEC1,56818
2015,4,PR05,TEC1,43968
2015,4,PR06,TEC1,353530
2015,4,PR07,TEC1,55681
2015,4,PR08,TEC1,113983
2015,4,PR09,TEC1,21734
2015,4,PR10,TEC1,32934
2015,4,PR11,TEC1,12755
2015,4,PR12,TEC1,16886
2015,4,PR13,TEC1,153293
2015,4,PR14,TEC1,60252
2015,4,PR15,TEC1,51680
2015,4,PR16,TEC1,66851
2015,4,PR17,TEC1,78744
2015,4,PR18,TEC1,48670
2015,4,PR19,TEC1,11432
2015,4,PR20,TEC1,15614
2015,4,PR21,TEC1,339843
2015,4,PR22,TEC1,33582
2015,4,PR23,TEC1,22636
2015,4,PR24,TEC1,144188
2016,1,PR01,TEC1,1583560
2016,1,PR02,TEC1,454425
2016,1,PR03,TEC1,26096
2016,1,PR04,TEC1,56353
2016,1,PR05,TEC1,43967
2016,1,PR06,TEC1,350884
2016,1,PR07,TEC1,55454
2016,1,PR08,TEC1,113101
2016,1,PR09,TEC1,21852
2016,1,PR10,TEC1,33481
2016,1,PR11,TEC1,12754
2016,1,PR12,TEC1,16645
2016,1,PR13,TEC1,153299
2016,1,PR14,TEC1,59538
2016,1,PR15,TEC1,51702
2016,1,PR16,TEC1,66894
2016,1,PR17,TEC1,78973
2016,1,PR18,TEC1,48670
2016,1,PR19,TEC1,11432
2016,1,PR20,TEC1,15654
2016,1,PR21,TEC1,338052
2016,1,PR22,TEC1,32838
2016,1,PR23,TEC1,22636
2016,1,PR24,TEC1,144233
2016,2,PR01,TEC1,1579448
2016,2,PR02,TEC1,450644
2016,2,PR03,TEC1,26262
2016,2,PR04,TEC1,56112
2016,2,PR05,TEC1,43977
2016,2,PR06,TEC1,348891
2016,2,PR07,TEC1,55511
2016,2,PR08,TEC1,112809
2016,2,PR09,TEC1,22101
2016,2,PR10,TEC1,33758
2016,2,PR11,TEC1,12754
2016,2,PR12,TEC1,16691
2016,2,PR13,TEC1,153321
2016,2,PR14,TEC1,59573
2016,2,PR15,TEC1,51742
2016,2,PR16,TEC1,67031
2016,2,PR17,TEC1,79438
2016,2,PR18,TEC1,48670
2016,2,PR19,TEC1,11432
2016,2,PR20,TEC1,15453
2016,2,PR21,TEC1,336244
2016,2,PR22,TEC1,32101
2016,2,PR23,TEC1,22636
2016,2,PR24,TEC1,145486
2016,3,PR01,TEC1,1574216
2016,3,PR02,TEC1,447726
2016,3,PR03,TEC1,26689
2016,3,PR04,TEC1,56251
2016,3,PR05,TEC1,43987
2016,3,PR06,TEC1,348481
2016,3,PR07,TEC1,55934
2016,3,PR08,TEC1,112588
2016,3,PR09,TEC1,21800
2016,3,PR10,TEC1,34250
2016,3,PR11,TEC1,12751
